When Rated,Beer,Score,Comment
5/15/2009,Maredsous 8 Brune,7,
5/15/2009,Lefebvre Blanche de Bruxelles,5,
5/18/2009,Spanish Peaks Crystal Weiss,6,
5/21/2009,Abbey Brewing Brother Dans Double,8,
5/21/2009,Brooklyn Local 1,8,
5/21/2009,Abbey Brewing Friar Frank's Benediction Bock,5,
5/23/2009,Stone Pale Ale,8,
5/23/2009,Left Hand Sawtooth Ale,7,
5/26/2009,Monk in the Trunk Organic Amber Ale,10,
5/26/2009,Lost Coast Downtown Brown,9,
5/26/2009,Highland Gaelic Ale,8,
5/26/2009,Titanic Brewing Dubbel Trouble,7,
